Support Library class,AndroidX class,Similarity,Support,AndroidX,Percentage
android.support.v4.app.FragmentActivity,androidx.fragment.app.FragmentActivity,0.9085,570,7074,8.06%
android.support.v4.app.Fragment,androidx.fragment.app.Fragment,0.9828,560,10263,5.46%
android.support.v4.app.FragmentManager,androidx.fragment.app.FragmentManager,0.6759,501,7563,6.62%
android.support.v4.app.FragmentTransaction,androidx.fragment.app.FragmentTransaction,0.8254,489,6155,7.94%
android.support.v4.util.SimpleArrayMap,androidx.collection.SimpleArrayMap,0.9454,411,6127,6.71%
android.support.v4.content.ContextCompat,androidx.core.content.ContextCompat,0.9416,407,6116,6.65%
android.support.v4.util.ArrayMap,androidx.collection.ArrayMap,0.8073,407,6024,6.76%
android.support.v4.app.DialogFragment,androidx.fragment.app.DialogFragment,0.9688,372,6289,5.92%
android.support.v7.app.AppCompatActivity,androidx.appcompat.app.AppCompatActivity,0.9891,371,6566,5.65%
android.support.v4.view.ViewCompat,androidx.core.view.ViewCompat,0.9877,323,5987,5.40%
android.support.v4.util.LruCache,androidx.collection.LruCache,1,322,5672,5.68%
android.support.v7.widget.RecyclerView,androidx.recyclerview.widget.RecyclerView,0.9993,322,9668,3.33%
android.support.v4.view.ViewPager,androidx.viewpager.widget.ViewPager,1,306,8152,3.75%
android.support.v4.util.ArraySet,androidx.collection.ArraySet,0.9859,302,5953,5.07%
android.support.v7.widget.LinearLayoutManager,androidx.recyclerview.widget.LinearLayoutManager,0.9989,299,9684,3.09%
android.support.v4.content.WakefulBroadcastReceiver,androidx.legacy.content.WakefulBroadcastReceiver,1,295,5944,4.96%
android.support.customtabs.CustomTabsIntent,androidx.browser.customtabs.CustomTabsIntent,0.9382,286,4708,6.07%
android.support.v4.app.ActivityCompat,androidx.core.app.ActivityCompat,0.953,279,4469,6.24%
android.support.v4.graphics.drawable.DrawableCompat,androidx.core.graphics.drawable.DrawableCompat,0.9875,273,5887,4.64%
android.support.v7.widget.Toolbar,androidx.appcompat.widget.Toolbar,0.9972,235,9745,2.41%
android.support.multidex.MultiDexApplication,androidx.multidex.MultiDexApplication,1,229,1587,14.43%
android.support.v7.app.ActionBar,androidx.appcompat.app.ActionBar,1,229,4635,4.94%
android.support.v4.content.FileProvider,androidx.core.content.FileProvider,0.9969,221,6609,3.34%
android.support.v4.view.PagerAdapter,androidx.viewpager.widget.PagerAdapter,1,219,5391,4.06%
android.support.v4.widget.DrawerLayout,androidx.drawerlayout.widget.DrawerLayout,0.9997,214,4235,5.05%
android.support.multidex.MultiDex,androidx.multidex.MultiDex,0.9952,202,1099,18.38%
android.support.customtabs.CustomTabsServiceConnection,androidx.browser.customtabs.CustomTabsServiceConnection,0.8419,200,4010,4.99%
android.support.customtabs.CustomTabsClient,androidx.browser.customtabs.CustomTabsClient,0.9239,199,3987,4.99%
android.support.v4.content.PermissionChecker,androidx.core.content.PermissionChecker,0.9933,187,4866,3.84%
